City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Sao Filipe,CV,14.8961,-24.4956,78.69,84,53,5.14,broken clouds
284,Oistins,BB,13.0667,-59.5333,80.69,83,20,11.5,few clouds
285,Pacifica,US,37.6138,-122.4869,67.42,92,20,13.8,mist
286,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,11.5,few clouds
287,Nacala,MZ,-14.5428,40.6728,73.83,78,0,2.84,clear sky
288,Bakreswar,IN,23.8833,87.3667,84.22,71,13,4.81,few clouds
289,Saint-Joseph,RE,-21.3667,55.6167,73.78,69,15,12.8,few clouds
290,Camacha,PT,33.0833,-16.3333,67.42,78,20,11.5,few clouds
291,Hualmay,PE,-11.0964,-77.6139,60.73,84,5,8.12,clear sky
292,Chernihiv,UA,51.0,32.0,47.82,96,14,7.45,few clouds
293,Ciudad Del Maiz,MX,22.4,-99.6,61.11,85,93,3.74,overcast clouds
294,Lousa,PT,40.1167,-8.2492,65.07,61,73,3.56,broken clouds
295,Malanje,AO,-9.5402,16.341,64.63,92,98,2.24,overcast clouds
296,Bairiki,KI,1.3292,172.9752,86.0,70,20,10.36,light rain
297,Maridi,SS,4.9158,29.4742,65.66,95,95,1.28,overcast clouds
298,Luganville,VU,-15.5333,167.1667,81.91,76,46,6.44,scattered clouds
299,Laminusa,PH,5.5549,120.9136,83.39,76,98,11.16,overcast clouds
300,Auki,SB,-8.7676,160.7034,83.05,73,98,3.33,overcast clouds
301,Kaitangata,NZ,-46.2817,169.8464,49.64,61,2,6.51,clear sky
302,Jiaojiang,CN,28.6803,121.4428,66.99,89,100,9.66,overcast clouds
303,Domoni,KM,-12.2569,44.5319,76.28,79,13,1.45,light rain
304,Bouar,CF,5.934,15.596,63.36,93,100,2.71,overcast clouds
305,Morant Bay,JM,17.8815,-76.4093,82.02,82,95,4.74,overcast clouds
306,Beloha,MG,-25.1667,45.05,77.81,47,0,1.23,clear sky
307,Hofn,IS,64.2539,-15.2082,42.44,64,98,14.38,overcast clouds
308,Kadyy,RU,57.787,43.1903,51.03,78,100,12.24,overcast clouds
309,La Ronge,CA,55.1001,-105.2842,39.45,56,20,8.05,few clouds
310,Nishihara,JP,26.1842,127.7558,83.86,74,75,20.71,broken clouds
311,Ilulissat,GL,69.2167,-51.1,30.22,93,100,2.3,light snow
312,Xingcheng,CN,40.6167,120.7167,58.84,40,0,6.51,clear sky
313,Tutoia,BR,-2.7619,-42.2744,78.85,82,13,14.5,few clouds
314,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,43,75,13.42,broken clouds
315,Deputatskiy,RU,69.3,139.9,14.79,87,98,25.48,overcast clouds
316,Coahuayana,MX,18.7333,-103.6833,76.17,91,90,1.83,overcast clouds
317,Boa Vista,BR,2.8197,-60.6733,78.78,78,20,5.75,few clouds
318,Cairns,AU,-16.9167,145.7667,91.06,79,75,13.8,broken clouds
319,Mackay,AU,-21.15,149.2,80.69,67,7,11.68,clear sky
320,Longyearbyen,SJ,78.2186,15.6401,40.84,70,100,19.57,overcast clouds
321,Kuito,AO,-12.3833,16.9333,57.72,87,85,4.21,overcast clouds
322,Port Elizabeth,ZA,-33.918,25.5701,59.31,79,0,19.57,clear sky
323,Pimentel,PE,-6.8367,-79.9342,61.52,90,40,10.54,scattered clouds
324,Mareeba,AU,-17.0,145.4333,86.43,61,30,11.05,scattered clouds
325,Waingapu,ID,-9.6567,120.2641,87.19,63,79,13.15,broken clouds
326,Tessalit,ML,20.1986,1.0114,83.66,20,1,11.72,clear sky
327,Kieta,PG,-6.2167,155.6333,84.22,64,96,4.65,overcast clouds
328,Shilovo,RU,54.3204,40.874,48.9,93,39,10.87,scattered clouds
329,Dhari,IN,21.3333,71.0167,80.82,69,92,6.93,overcast clouds
330,Soldotna,US,60.4878,-151.0583,49.06,78,0,0.0,clear sky
331,Hongjiang,CN,27.11,109.9956,53.58,86,100,2.8,overcast clouds
332,Victoria,HK,22.2855,114.1577,89.65,65,44,8.01,scattered clouds
333,Saint-Francois,FR,46.4154,3.9054,45.84,100,100,0.0,fog
334,San Mateo Del Mar,MX,16.2,-95.0,79.57,72,52,31.94,broken clouds
